epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,401.135,1.00932,0.52871,1.0248,0.89869,0.90818,0.9321,0.57868,1.23565,0.61132,1.07724,0.000361699,0.000361699,0.000361699
109,404.701,1.00351,0.53382,1.0131,0.90177,0.91056,0.92881,0.57372,1.25738,0.62054,1.08632,0.000357893,0.000357893,0.000357893
110,408.355,0.99886,0.51665,0.9949,0.88493,0.90364,0.92477,0.55563,1.28354,0.65064,1.10858,0.000354086,0.000354086,0.000354086
111,412.051,1.01399,0.55828,1.02068,0.91975,0.90456,0.93097,0.55711,1.25272,0.6157,1.08263,0.00035028,0.00035028,0.00035028
112,415.716,0.95495,0.48124,0.98089,0.90067,0.8989,0.93098,0.57827,1.22332,0.63335,1.07719,0.000346473,0.000346473,0.000346473
113,419.349,0.94768,0.49839,0.97304,0.88156,0.9101,0.93078,0.56967,1.24766,0.632,1.0804,0.000342666,0.000342666,0.000342666
114,423.038,0.98225,0.48577,0.9968,0.91061,0.89981,0.93086,0.56403,1.26733,0.64923,1.08206,0.00033886,0.00033886,0.00033886
115,426.694,0.95861,0.48061,0.99781,0.91595,0.90288,0.9369,0.57851,1.25012,0.63727,1.07735,0.000335053,0.000335053,0.000335053
116,430.343,0.96307,0.51057,0.99783,0.92452,0.88736,0.93383,0.5719,1.26606,0.64326,1.07371,0.000331247,0.000331247,0.000331247
117,433.918,0.96616,0.48602,0.9719,0.92155,0.89162,0.93448,0.57393,1.26508,0.65134,1.0726,0.00032744,0.00032744,0.00032744
118,437.536,0.95918,0.50866,1.00852,0.88455,0.89661,0.93945,0.59201,1.25572,0.68959,1.07873,0.000323634,0.000323634,0.000323634
119,441.163,0.97296,0.51464,0.98433,0.90171,0.88386,0.93237,0.55387,1.28216,0.71492,1.09271,0.000319827,0.000319827,0.000319827
120,445.698,0.96204,0.48433,0.99138,0.94081,0.87703,0.93807,0.57192,1.24666,0.67809,1.07886,0.000316021,0.000316021,0.000316021
121,449.284,0.96851,0.53191,1.02838,0.9412,0.88434,0.94457,0.5873,1.22647,0.67977,1.06173,0.000312214,0.000312214,0.000312214
122,452.883,0.94731,0.47581,0.99985,0.92451,0.88818,0.94434,0.58644,1.2428,0.68099,1.0668,0.000308407,0.000308407,0.000308407
123,456.57,0.97274,0.4704,0.9817,0.90348,0.88483,0.93959,0.58881,1.25143,0.66472,1.07731,0.000304601,0.000304601,0.000304601
124,460.229,0.92699,0.49028,0.99076,0.89898,0.89149,0.93896,0.5811,1.24591,0.67689,1.0642,0.000300794,0.000300794,0.000300794
125,463.776,1.00079,0.48706,1.06123,0.9202,0.87063,0.93589,0.5744,1.25395,0.69081,1.06482,0.000296988,0.000296988,0.000296988
126,467.39,0.92517,0.45924,1.00067,0.91411,0.8725,0.93429,0.5715,1.26774,0.68632,1.08237,0.000293181,0.000293181,0.000293181
127,471.028,0.96595,0.52985,1.01704,0.92586,0.89378,0.92733,0.57267,1.27618,0.66415,1.10495,0.000289375,0.000289375,0.000289375
128,474.742,0.92486,0.46864,0.97392,0.9251,0.89896,0.92535,0.57228,1.29206,0.66351,1.11567,0.000285568,0.000285568,0.000285568
129,478.375,1.00488,0.52544,1.01494,0.92114,0.89724,0.92423,0.57398,1.28909,0.65643,1.12266,0.000281762,0.000281762,0.000281762
130,482.056,0.94121,0.4753,0.98321,0.92928,0.90489,0.92019,0.55778,1.28368,0.65745,1.11848,0.000277955,0.000277955,0.000277955
131,485.778,0.938,0.46489,0.96157,0.93036,0.8963,0.91701,0.53623,1.29082,0.64733,1.11479,0.000274148,0.000274148,0.000274148
132,489.478,0.95277,0.48302,1.00456,0.91907,0.9009,0.92404,0.54237,1.28361,0.64111,1.09758,0.000270342,0.000270342,0.000270342
133,493.079,0.92492,0.46628,0.98231,0.9195,0.90009,0.92488,0.54181,1.28572,0.65092,1.09042,0.000266535,0.000266535,0.000266535
134,496.779,0.9255,0.46503,0.99796,0.90512,0.89054,0.92305,0.54399,1.26817,0.64887,1.09833,0.000262729,0.000262729,0.000262729
135,500.421,0.9299,0.4546,0.98489,0.88317,0.88844,0.91894,0.54689,1.2751,0.65805,1.11776,0.000258922,0.000258922,0.000258922
136,504.091,0.91554,0.47081,0.97155,0.90299,0.88647,0.92636,0.56111,1.29727,0.65475,1.1399,0.000255116,0.000255116,0.000255116
137,507.698,0.9199,0.45848,0.96246,0.89508,0.88624,0.92267,0.55828,1.29784,0.65019,1.13788,0.000251309,0.000251309,0.000251309
138,511.315,0.90082,0.4665,0.99544,0.89702,0.88609,0.92126,0.56862,1.27451,0.63752,1.11233,0.000247503,0.000247503,0.000247503
139,514.956,0.8756,0.45559,0.96715,0.88096,0.91225,0.93452,0.56949,1.28605,0.62952,1.11168,0.000243696,0.000243696,0.000243696
140,518.676,0.90414,0.4668,0.98542,0.90152,0.90385,0.93522,0.57311,1.2653,0.60452,1.11864,0.00023989,0.00023989,0.00023989
141,522.252,0.93885,0.47158,1.01592,0.8933,0.90795,0.93588,0.57693,1.25365,0.59885,1.10943,0.000236083,0.000236083,0.000236083
142,525.908,0.89261,0.46055,0.97336,0.90625,0.89093,0.92725,0.57203,1.25688,0.59977,1.10397,0.000232276,0.000232276,0.000232276
143,529.632,0.89181,0.44922,0.96272,0.90457,0.85972,0.92076,0.57769,1.27505,0.64426,1.10652,0.00022847,0.00022847,0.00022847
144,533.338,0.91606,0.48082,0.99504,0.90795,0.87442,0.92796,0.57834,1.26336,0.65386,1.10221,0.000224663,0.000224663,0.000224663
145,536.873,0.87923,0.44686,0.95067,0.92137,0.87383,0.93038,0.58195,1.25652,0.6463,1.0973,0.000220857,0.000220857,0.000220857
146,540.727,0.89816,0.45225,0.99321,0.91606,0.87847,0.93119,0.57951,1.2798,0.65079,1.11079,0.00021705,0.00021705,0.00021705
147,544.36,0.8584,0.45119,0.96406,0.90796,0.89187,0.93076,0.56124,1.31667,0.65333,1.12925,0.000213244,0.000213244,0.000213244
148,548.003,0.91988,0.46433,0.95689,0.90187,0.90582,0.93207,0.56391,1.31502,0.61639,1.11795,0.000209437,0.000209437,0.000209437
149,551.568,0.88116,0.43969,1.00033,0.90246,0.90721,0.93191,0.56552,1.30999,0.6247,1.10505,0.000205631,0.000205631,0.000205631
150,555.206,0.91344,0.46286,0.96236,0.93012,0.92425,0.94929,0.57205,1.3254,0.64433,1.11342,0.000201824,0.000201824,0.000201824
151,558.801,0.9097,0.46387,0.99331,0.91958,0.90034,0.92853,0.56035,1.32101,0.64364,1.11762,0.000198018,0.000198018,0.000198018
152,562.449,0.87812,0.46129,0.98217,0.91386,0.9032,0.92853,0.55024,1.34004,0.63485,1.12339,0.000194211,0.000194211,0.000194211
153,566.097,0.8594,0.42214,0.96432,0.91491,0.9048,0.92822,0.54595,1.33876,0.62871,1.12405,0.000190404,0.000190404,0.000190404
154,570.936,0.87566,0.45892,0.97061,0.92658,0.90249,0.92935,0.5546,1.29094,0.62105,1.10831,0.000186598,0.000186598,0.000186598
155,574.64,0.83385,0.43797,0.94856,0.93084,0.91087,0.9293,0.56446,1.27411,0.61522,1.1061,0.000182791,0.000182791,0.000182791
156,578.357,0.85184,0.43224,0.98503,0.93552,0.90369,0.92365,0.56385,1.2863,0.61227,1.1187,0.000178985,0.000178985,0.000178985
157,581.988,0.86112,0.43827,0.95996,0.94084,0.89223,0.92614,0.56254,1.30069,0.63011,1.13106,0.000175178,0.000175178,0.000175178
158,585.609,0.81116,0.43667,0.96201,0.94118,0.88305,0.92885,0.57373,1.30152,0.67587,1.11973,0.000171372,0.000171372,0.000171372
