epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,402.654,1.06343,0.58435,1.01482,0.93593,0.83728,0.88638,0.51482,1.31446,0.65599,1.12769,0.000304601,0.000304601,0.000304601
63,407.81,1.046,0.55772,1.01413,0.89822,0.79894,0.84886,0.51374,1.2802,0.64095,1.10838,0.000296988,0.000296988,0.000296988
64,413.405,1.06938,0.58463,1.05589,0.92094,0.82649,0.88336,0.50567,1.27247,0.63791,1.09874,0.000289375,0.000289375,0.000289375
65,420.875,1.04747,0.57759,1.02637,0.87448,0.79111,0.86112,0.49292,1.27979,0.65999,1.1057,0.000281762,0.000281762,0.000281762
66,426.296,1.0805,0.57626,1.02582,0.69008,0.81951,0.86104,0.50594,1.29266,0.72483,1.11486,0.000274148,0.000274148,0.000274148
67,432.389,1.01223,0.55631,1.00409,0.70428,0.87504,0.85859,0.50028,1.27283,0.76837,1.10428,0.000266535,0.000266535,0.000266535
68,438.197,1.07257,0.57658,1.00419,0.71139,0.96307,0.87908,0.51129,1.26886,0.75406,1.0926,0.000258922,0.000258922,0.000258922
69,443.041,1.0149,0.54695,1.00531,0.76046,0.97143,0.88049,0.51981,1.24819,0.70671,1.08093,0.000251309,0.000251309,0.000251309
70,450.826,0.99982,0.57296,0.9971,0.78765,0.94363,0.85908,0.53177,1.22517,0.63809,1.0655,0.000243696,0.000243696,0.000243696
71,456.472,1.01792,0.56096,1.0183,0.79943,0.94905,0.85985,0.53495,1.21551,0.61029,1.06056,0.000236083,0.000236083,0.000236083
72,461.787,1.00611,0.53379,0.96645,0.8039,0.95095,0.85853,0.53141,1.21355,0.60471,1.05806,0.00022847,0.00022847,0.00022847
73,466.672,1.04163,0.54707,0.98832,0.80736,0.94819,0.8589,0.52584,1.22628,0.60485,1.05998,0.000220857,0.000220857,0.000220857
74,472.11,1.00696,0.579,1.01728,0.80483,0.98667,0.88802,0.52206,1.23982,0.60156,1.06359,0.000213244,0.000213244,0.000213244
75,477.562,1.00251,0.54624,0.97597,0.79494,0.98667,0.88891,0.53054,1.2279,0.58058,1.06478,0.000205631,0.000205631,0.000205631
76,482.45,1.00887,0.55796,0.98027,0.81006,0.98667,0.88946,0.53562,1.21315,0.5845,1.05914,0.000198018,0.000198018,0.000198018
77,487.537,0.99642,0.5403,0.98852,0.8286,0.98667,0.88858,0.52933,1.20846,0.59069,1.05588,0.000190404,0.000190404,0.000190404
78,492.31,0.98292,0.53333,0.99581,0.82366,0.95095,0.87505,0.51882,1.23059,0.60285,1.06624,0.000182791,0.000182791,0.000182791
79,497.21,0.96727,0.53051,1.02438,0.79925,0.9498,0.86025,0.50551,1.25658,0.60847,1.08517,0.000175178,0.000175178,0.000175178
80,503,0.9534,0.49175,0.98951,0.78522,0.93628,0.86039,0.50238,1.26209,0.59968,1.08907,0.000167565,0.000167565,0.000167565
81,507.766,0.95144,0.52698,0.97842,0.79253,0.92922,0.86083,0.50562,1.25629,0.59071,1.08097,0.000159952,0.000159952,0.000159952
82,518.473,0.94332,0.51399,0.95642,0.7962,0.95355,0.88791,0.50863,1.24932,0.59085,1.07099,0.000152339,0.000152339,0.000152339
83,523.427,0.98266,0.54105,0.98389,0.81235,0.95215,0.89482,0.52102,1.24373,0.59934,1.06973,0.000144726,0.000144726,0.000144726
84,528.735,0.94421,0.51041,0.96541,0.80776,0.94814,0.8929,0.5262,1.24419,0.63786,1.07466,0.000137113,0.000137113,0.000137113
85,533.798,0.91431,0.51509,0.97604,0.83217,0.89478,0.89021,0.52798,1.23476,0.6603,1.07562,0.0001295,0.0001295,0.0001295
86,541.295,0.95046,0.50924,0.99781,0.8032,0.95202,0.88837,0.54369,1.2338,0.65291,1.07365,0.000121887,0.000121887,0.000121887
87,547.134,0.98903,0.52526,1.0163,0.80847,0.94861,0.88628,0.53751,1.23537,0.66486,1.07564,0.000114273,0.000114273,0.000114273
88,552.504,0.90233,0.4852,0.99502,0.80968,0.94805,0.88527,0.52647,1.24333,0.68066,1.07741,0.00010666,0.00010666,0.00010666
89,557.612,0.88434,0.465,0.961,0.81348,0.95068,0.88691,0.51986,1.24855,0.6809,1.07855,9.90472e-05,9.90472e-05,9.90472e-05
90,565.639,0.93279,0.48109,0.98248,0.81579,0.95083,0.88904,0.52304,1.25114,0.66482,1.08272,9.14341e-05,9.14341e-05,9.14341e-05
91,571.766,0.96473,0.47661,1.04978,0.81814,0.9463,0.88923,0.52285,1.25514,0.65556,1.09155,8.3821e-05,8.3821e-05,8.3821e-05
92,577.166,0.91592,0.47582,1.01547,0.83318,0.89728,0.88925,0.52037,1.26572,0.65848,1.10085,7.62079e-05,7.62079e-05,7.62079e-05
93,582.109,0.93182,0.47604,1.00421,0.8209,0.91457,0.88739,0.51317,1.27051,0.64815,1.10436,6.85948e-05,6.85948e-05,6.85948e-05
94,587.848,0.89804,0.44729,0.9957,0.82422,0.91685,0.88383,0.51147,1.27064,0.64367,1.1036,6.09817e-05,6.09817e-05,6.09817e-05
95,593.086,0.90265,0.47494,1.01765,0.80651,0.91782,0.88262,0.50516,1.27312,0.64528,1.10734,5.33686e-05,5.33686e-05,5.33686e-05
96,604.509,0.88353,0.45659,0.98241,0.79586,0.87901,0.84583,0.50412,1.26604,0.64594,1.10189,4.57555e-05,4.57555e-05,4.57555e-05
97,611.225,0.89724,0.44147,0.9889,0.7955,0.87935,0.86184,0.5078,1.25824,0.645,1.09513,3.81424e-05,3.81424e-05,3.81424e-05
98,616.897,0.88226,0.44674,0.98205,0.79427,0.87811,0.84704,0.50453,1.24647,0.64367,1.08675,3.05293e-05,3.05293e-05,3.05293e-05
99,621.716,0.85372,0.42235,0.96124,0.79064,0.88861,0.84876,0.50597,1.23992,0.63785,1.08207,2.29162e-05,2.29162e-05,2.29162e-05
100,628.9,0.90203,0.43394,1.01775,0.7952,0.8876,0.85019,0.50881,1.23409,0.62935,1.08021,1.53031e-05,1.53031e-05,1.53031e-05
