epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,388.049,1.36969,0.81405,0.83399,0.41729,0.50354,0.3717,0.21505,1.44296,9.69421,0.83788,0.000321204,0.000321204,0.000321204
61,394.389,1.27434,0.77901,0.85025,0.41729,0.50354,0.3717,0.21505,1.44296,9.69421,0.83788,0.000324364,0.000324364,0.000324364
62,400.73,1.2492,0.80646,0.85296,0.41729,0.50354,0.3717,0.21505,1.44296,9.69421,0.83788,0.000327448,0.000327448,0.000327448
63,409.134,1.13234,0.69532,0.83799,0.49544,0.40061,0.41371,0.22477,1.37301,16.4337,0.83661,0.000330456,0.000330456,0.000330456
64,421.051,1.11674,0.69646,0.84236,0.49544,0.40061,0.41371,0.22477,1.37301,16.4337,0.83661,0.000333388,0.000333388,0.000333388
65,426.128,1.27588,0.8408,0.85642,0.49544,0.40061,0.41371,0.22477,1.37301,16.4337,0.83661,0.000336244,0.000336244,0.000336244
66,433.628,1.36247,0.8992,0.88251,0.30927,0.32993,0.25515,0.14992,1.33993,16.3456,0.84331,0.000339023,0.000339023,0.000339023
67,441.608,1.19633,0.72258,0.84671,0.30927,0.32993,0.25515,0.14992,1.33993,16.3456,0.84331,0.000341727,0.000341727,0.000341727
68,448.653,1.29136,0.76905,0.85502,0.30927,0.32993,0.25515,0.14992,1.33993,16.3456,0.84331,0.000344354,0.000344354,0.000344354
69,456.105,1.4876,0.90248,0.84243,0.41909,0.37314,0.27713,0.16505,1.37499,4.68079,0.85142,0.000346905,0.000346905,0.000346905
70,463.053,1.26931,0.75663,0.8335,0.41909,0.37314,0.27713,0.16505,1.37499,4.68079,0.85142,0.00034938,0.00034938,0.00034938
71,474.763,1.38423,0.7981,0.8353,0.41909,0.37314,0.27713,0.16505,1.37499,4.68079,0.85142,0.000351779,0.000351779,0.000351779
72,476.41,1.09761,0.66808,0.84231,0.46532,0.38098,0.38631,0.20764,1.33578,0.90884,0.84066,0.000354102,0.000354102,0.000354102
73,484.587,1.08019,0.65766,0.84855,0.46532,0.38098,0.38631,0.20764,1.33578,0.90884,0.84066,0.000356348,0.000356348,0.000356348
74,492.754,1.16082,0.67864,0.85605,0.46532,0.38098,0.38631,0.20764,1.33578,0.90884,0.84066,0.000358519,0.000358519,0.000358519
75,499.645,1.31588,0.82349,0.8407,0.58957,0.41591,0.47421,0.26735,1.30621,0.85564,0.83575,0.000360613,0.000360613,0.000360613
76,510.718,1.38015,0.82186,0.85795,0.58957,0.41591,0.47421,0.26735,1.30621,0.85564,0.83575,0.000362632,0.000362632,0.000362632
77,518.301,1.30749,0.7511,0.8242,0.58957,0.41591,0.47421,0.26735,1.30621,0.85564,0.83575,0.000364574,0.000364574,0.000364574
78,525.527,1.21414,0.70842,0.82607,0.52357,0.47401,0.47483,0.25531,1.38053,0.87647,0.8408,0.00036644,0.00036644,0.00036644
